pareçiere	pareciere
q	que
obre	obre
poder	poder
a	a
psona	persona
q	que
me	me
pueda	pueda
tomar	tomar
cuenta	cuenta
y	y
dar	dar
carta	carta
de	de
finyquyto	finiquito
q	que
en	en
la	la
vera	veracruz
tiene	tiene
joan	juan
galvarro	galvarro
psonas	personas
a	a
qen	quien
se	se
puede	puede
encargar	encargar
y	y
se	se
hara	hará
mejor	mejor
pero	pero
ante	ante
todas	todas
cosas	cosas
a	ha
de	de
benyr	venir
lo	lo
q	que
digo	digo
al	al
sor	señor
po	pedro
de	de
arrs	arrobas
beso	beso
las	las
mos	manos
y	y
le	le
supco	suplico
me	me
pdone	perdone
no	no
le	le
escrivo	escribo
q	que
pues	pues
me	me
a	ha
olvidado	olvidado
no	no
sere	seré
de	de
culpar	culpar
en	en
s	ser
yo	yo
descuydado	descuidado
aya	haya
su	su
md	merced
esta	ésta
por	por
suya	suya
nro	nuestro
sor	señor
de	dé
a	a
vm	vm
la	la
vida	vida
y	y
salud	salud
co	con
lo	lo
demas	demás
q	que
deseo	deseo
pa	para
my	mí
de	de
guaçacualco	coatzcoalco
x	x
de	de
ote	octubre
1545svidor	1545servidor
a	a
vra	vuestra
merçedjuan	mercedjuan
medez	méndez
muy	muy
ille	ilustre
saasi	señoraasí
de	dé
dios	dios
a	a
vram	vm
seis	seis
hijos	hijos
y	y
la	la
presidencia	presidencia
del	del
consejo	consejo
que	que
de	dé
mas	más
de	de
lo	lo
q	que
suplique	supliqué
pida	pida
al	al
cardenal	cardenal
una	una
licencia	licencia
para	para
que	que
un	un
escritorio	escritorio
q	que
doña	doña
maria	maría
de	de
tores	torres
tenia	tenía
en	en
el	el
paredamiento	paredamiento
se	se
le	le
de	dé
luego	luego
q	que
no	no
quiere	quieren
dexar	dejar
q	que
se	se
le	le
de	dé
y	y
diga	diga
vram	vm
q	que
vram	vm
se	se
lo	lo
a	ha
de	de
embiar	enviar
y	y
en	en
esto	esto
apriete	apriete
vramel	vmel
ldo	licenciado
de	de
marines	marínes
para	para
la	la
muy	muy
ille	ilustre
sa	señora
doña	doña
elbira	elvira
de	de
alderete	alderete
mi	mi
sa	señora
por	por
la	la
carta	carta
que	que
vm	vm
ha	ha
escrito	escrito
a	a
nro	nuestro
amigo	amigo
el	el
capitan	capitán
pedro	pedro
monçon	monzón
de	de
los	los
beinte	veinte
i	y
siete	siete
de	de
henero	enero
tengo	tengo
visto	visto
el	el
horden	orden
le	le
da	da
en	en
que	que
remate	remate
la	la
cuenta	cuenta
conmigo	conmigo
i	y
le	le
remitta	remita
la	la
resta	resta
i	y
ansi	así
como	como
vehera	verá
vm	vm
por	por
la	la
cuenta	cuenta
va	va
con	con
esta	ésta
he	he
pagados	pagados
a	a
dicho	dicho
capitan	capitán
ochosientos	ochocientos
setenta	setenta
reales	reales
castellanos	castellanos
que	que
es	es
lo	lo
que	que
io	yo
quedava	quedaba
deudor	deudor
a	a
vm	vm
por	por
los	los
salarios	salarios
de	de
duanero	aduanero
havia	había
cobrado	cobrado
hasta	hasta
los	los
dies	diez
de	de
henero	enero
propasado	propasado
del	del
prte	presente
año	año
i	y
nuestra	nuestra
cuenta	cuenta
resta	resta
rematada	rematada
hasta	hasta
dicho	dicho
dia	día
vm	vm
la	la
mandara	mandará
veher	ver
i	y
estando	estando
bien	bien
si	si
sera	será
serbido	servido
avisara	avisará
d	de
elloel	elloel
recado	recado
que	que
vm	vm
dize	dice
me	me
enbiara	enviará
para	para
defensa	defensa
de	de
la	la
juridission	jurisdicción
del	del
offissio	oficio
de	de
vm	vm
sera	será
bien	bien
porque	porque
conoscan	conozcan
estos	estos
señores	señores
del	del
rasional	racional
q	que
vm	vm
es	es
persona	persona
que	que
sabe	sabe
defender	defender
lo	lo
que	que
le	le
toca	toca
que	que
sierto	cierto
como	como
con	con
otras	otras
he	he
dicho	dicho
a	a
vm	vm
se	se
hizo	hizo
cosa	cosa
que	que
nunca	nunca
tal	tal
se	se
abia	había
echo	hecho
segun	según
el	el
marques	marqués
de	de
aitona	aitona
mi	mi
señor	señor
le	le
dira	dirá
que	que
arto	harto
lo	lo
defendio	defendió
por	por
parte	parte
de	de
vm	vm
i	y
n	nuestro
sor	señor
guarde	guarde
a	a
su	su
maad	majestad
i	y
sea	sea
con	con
todos	todos
de	de
caller	cáller
i	y
maio	mayo
a	a
los	los
27	27
de	de
1596somos	1596somos
a	a
4	4
de	de
julio	julio
i	y
esta	ésta
ba	va
por	por
via	vía
de	de
vas	vas
i	y
sera	será
para	para
dezir	decir
a	a
vm	vm
de	de
como	como
el	el
capitan	capitán
pedro	pedro
monçon	monzón
me	me
a	ha
dado	dado
orden	orden
que	que
los	los
ochosientos	ochocientos
sesenta	sesenta
reales	reales
que	que
io	yo
quedava	quedaba
a	a
vm	vm
deudor	deudor
i	y
a	a
dicho	dicho
capitan	capitán
havia	había
pagados	pagados
i	y
echos	hechos
buenos	buenos
a	a
su	su
cuenta	cuenta
los	los
remitiesse	remitiese
a	a
galceran	galcerán
balles	vallés
en	en
balencia	valencia
para	para
servir	servir
de	de
aquellos	aquéllos
la	la
horden	orden
i	y
voluntad	voluntad
de	de
vm	vm
i	y
asi	así
hoi	hoy
he	he
remetido	remetido
a	a
dicho	dicho
balles	vallés
dichos	dichos
ochosientos	ochocientos
setenta	setenta
reales	reales
en	en
setenta	setenta
siete	siete
ducados	ducados
dos	dos
tercios	tercios
a	a
rason	razón
de	de
beinte	veinte
i	y
un	un
sueldo	sueldo
de	de
dicha	dicha
mda	medida
de	de
balensia	valencia
por	por
ducado	ducado
al	al
qual	cual
balles	vallés
he	he
dado	dado
horden	orden
