TRAIN,LABELS
las,las
beras,veras
con,con
q,que
vm,vm
me,me
ha,ha
echo,hecho
mrd,merced
y,y
las,las
q,que
en,en
este,este
papel,papel
me,me
muestra,muestra
deseandomela,deseándomela
hazer,hacer
con,con
las,las
q,que
syenpre,siempre
e,he
chado,echado
byen,bien
de,de
ber,ver
en,en
este,este
nego,negocio
q,que
no,no
solo,sólo
dygo,digo
a,a
vm,vm
a,ha
sydo,sido
deseandolo,deseándolo
yo,yo
mas,mas
asyguro,aseguro
a,a
vm,vm
con,con
pura,pura
berdad,verdad
y,y
juramento,juramento
como,como
crystyana,cristiana
y,e
hyja,hija
de,de
mys,mis
padres,padres
q,que
jamas,jamás
e,he
deseado,deseado
otro,otro
nynguno,ninguno
mas,más
ny,ni
q,que
de,de
mayor,mayor
ynportançya,importancia
aya,haya
sido,sido
pa,para
el,el
byen,bien
de,de
my,mi
casa,casa
y,y
de,de
mys,mis
hyjos,hijos
porq,porque
no,no
solo,sólo
a,ha
sydo,sido
causa,causa
el,el
hazernos,hacernos
vm,vm
esta,esta
md,merced
de,de
rremedyar,remediar
nra,nuestra
nesesydad,necesidad
mas,mas
q,que
lo,lo
es,es
la,la
q,que
avemos,hemos
rrezyvydo,recibido
en,en
esta,esta
ocasyon,ocasión
pa,para
ber,ver
muy,muy
onrrada,honrada
my,mi
casa,casa
y,y
con,con
mucho,mucho
acresentamyento,acrecentamiento
y,y
ansy,así
dygo,digo
señor,señor
q,que
vm,vm
este,esté
syerto,cierto
q,que
este,este
rreconosymyento,reconocimiento
esta,está
muy,muy
de,de
beras,veras
y,y
q,que
en,en
byda,vida
y,y
muerte,muerte
a,ha
de,de
ser,ser
esta,esta
deuda,deuda
la,la
prymera,primera
como,como
quyen,quien
la,la
tyene,tiene
tan,tan
a,a
su,su
cargo,cargo
el,el
pagarla,pagarla
y,y
nynguna,ninguna
lo,lo
sera,será
mas,más
de,de
my,mi
alma,alma
q,que
esta,ésta
como,como
vm,vm
y,y
todas,todas
sus,sus
cosas,cosas
an,han
de,de
echar,echar
de,de
ber,ver
gde,guarde
dyos,dios
a,a
vm,vm
muchos,muchos
años,años
y,y
de,dé
en,en
ellos,ellos
lo,lo
q,que
le,le
deseo,deseo
la,la
condessa,condesa
de,de
byllalonso,villalonso
y,y
la,la
presente,presente
es,es
pa,para
hacer,hacer
saber,saber
a,a
mi,mi
sr,señor
padere,padre
y,y
a,a
mi,mi
señora,señora
madere,madre
como,como
yo,yo
estoy,estoy
bueno,bueno
gloria,gloria
dios,dios
por,por
to,todo
y,y
con,con
mucha,mucha
pena,pena
desde,desde
que,que
bi,vi
a,a
dio,diego
sanchez,sánchez
en,en
sanlucar,sanlúcar
de,de
barameda,barrameda
que,que
con,con
ser,ser
mensaxero,mensajero
cierto,cierto
y,y
que,que
fue,fue
a,a
vms,vms
no,no
m,me
escribio,escribió
vm,vm
yo,yo
no,no
puedo,puedo
creher,creer
que,que
mi,mi
sr,señor
padre,padre
es,es
en,en
esta,esta
bida,vida
y,y
tengo,tengo
mucha,mucha
sospecha,sospecha
de,de
qu,que
es,es
mi,mi
sr,señor
padre,padre
muerto,muerto
hasta,hasta
que,que
bea,vea
una,una
de,de
vms,vms
y,y
con,con
hela,ella
a,a
mi,mi
hermano,hermano
tomas,tomás
y,y
con,con
ynfromacin,información
y,y
recaudo,recaudo
bastante,bastante
pa,para
que,que
se,se
pueda,pueda
ordenar,ordenar
que,que
heso,eso
lo,lo
dira,dirá
el,el
sr,señor
fraco,francisco
gomez,gómez
a,a
quin,quien
beso,beso
muchas,muchas
beçes,veces
las,las
manos,manos
yo,yo
estoy,estoy
en,en
cartaxena,cartagena
de,de
las,las
yndias,indias
y,y
es,es
buena,buena
tira,tierra
pa,para
ganar,ganar
de,de
comer,comer
aunque,aunque
los,los
bastimentos,bastimentos
son,son
muy,muy
malos,malos
y,y
muy,muy
caros,caros
que,que
quando,cuando
bale,vale
una,una
lechuga,lechuga
por,por
muy,muy
barata,barata
bale,vale
un,un
r,real
y,y
digolo,dígolo
porque,porque
en,en
la,la
casa,casa
en,en
que,que
bimos,vivimos
tenemos,tenemos
un,un
guerto,huerto
que,que
sera,será
como,como
el,el
çaguan,zaguán
del,del
meson,mesón
del,del
conde,conde
y,y
bale,vale
las,las
lechuga,lechuga
mas,más
de,de
trecintos,trescientos
pesos,pesos
y,y
esto,esto
lo,lo
hago,hago
yo,yo
por,por
mi,mi
pasatimpo,pasatiempo
yo,yo
tengo,tengo
cada,cada
dia,día
con,con
po,pedro
